t_wall,t_rel,armed,mode,alt,alt_sp,climb_rate,a_up,a_total,a_cmd,thrust,x,y,x_filt,y_filt,dxy,vx,vy,roll_deg,pitch_deg,yaw_deg,roll_ref_deg,pitch_ref_deg,roll_rate,pitch_rate,yaw_rate,pwm_roll,pwm_pitch,pwm_yaw,pwm_thr,dt_ms,sched_slip_ms,att_age_ms,pos_age_ms
1787303438.543,16.704,True,1,-0.039,-0.039,-0.123,0.368,10.175,10.173,0.325,0.917,-0.430,0.918,-0.454,0.023,-0.005,-0.004,-0.57,0.77,13.86,0.02,-0.06,0.062,-0.087,-0.001,1526,1529,1479,1527,0.00,10.00,10.19,10.14
1787303438.553,16.714,True,1,-0.039,-0.036,-0.123,0.380,10.187,10.185,0.325,0.917,-0.430,0.918,-0.453,0.023,-0.005,-0.004,-0.57,0.77,13.86,0.02,-0.06,0.062,-0.086,-0.001,1526,1529,1479,1528,10.07,10.07,20.26,20.21
1787303438.563,16.724,True,1,-0.039,-0.033,-0.123,0.392,10.199,10.197,0.325,0.917,-0.430,0.918,-0.452,0.023,-0.005,-0.004,-0.57,0.77,13.86,0.01,-0.05,0.061,-0.086,-0.001,1526,1529,1479,1528,10.00,10.06,30.25,30.21
1787303438.573,16.735,True,1,-0.040,-0.030,-0.123,0.409,10.216,10.214,0.326,0.917,-0.430,0.918,-0.452,0.024,-0.004,-0.004,-0.57,0.77,13.86,0.01,-0.05,0.061,-0.086,-0.001,1526,1529,1479,1529,10.00,10.06,-0.20,-0.25
1787303438.583,16.744,True,1,-0.040,-0.027,-0.123,0.421,10.228,10.227,0.326,0.917,-0.430,0.918,-0.451,0.024,-0.004,-0.004,-0.57,0.77,13.86,0.01,-0.05,0.061,-0.086,-0.001,1526,1529,1479,1529,10.00,10.06,9.80,9.75
1787303438.593,16.754,True,1,-0.040,-0.024,-0.123,0.434,10.240,10.239,0.327,0.917,-0.430,0.918,-0.450,0.024,-0.004,-0.004,-0.57,0.77,13.86,0.00,-0.05,0.060,-0.086,-0.001,1526,1529,1479,1529,10.01,10.07,19.81,19.76
1787303438.603,16.764,True,1,-0.040,-0.021,-0.123,0.446,10.252,10.251,0.327,0.917,-0.430,0.918,-0.450,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.00,-0.05,0.060,-0.086,-0.001,1526,1529,1479,1530,9.99,10.06,29.80,29.75
1787303438.613,16.775,True,1,-0.041,-0.018,-0.124,0.465,10.271,10.270,0.328,0.917,-0.430,0.918,-0.449,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.00,-0.04,0.060,-0.085,-0.001,1526,1529,1479,1531,10.00,10.06,-0.36,-0.31
1787303438.623,16.784,True,1,-0.041,-0.015,-0.124,0.477,10.283,10.282,0.328,0.917,-0.430,0.918,-0.448,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.01,-0.04,0.059,-0.085,-0.001,1526,1529,1479,1531,10.00,10.06,9.64,9.69
1787303438.633,16.794,True,1,-0.041,-0.012,-0.124,0.489,10.296,10.294,0.329,0.917,-0.430,0.918,-0.448,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.01,-0.04,0.059,-0.085,-0.001,1526,1529,1479,1531,10.00,10.06,19.64,19.69
1787303438.643,16.804,True,1,-0.041,-0.009,-0.124,0.501,10.308,10.307,0.329,0.917,-0.430,0.918,-0.447,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.02,-0.04,0.058,-0.085,-0.001,1526,1529,1479,1532,10.01,10.07,29.64,29.69
1787303438.653,16.814,True,1,-0.041,-0.006,-0.124,0.514,10.320,10.319,0.329,0.917,-0.430,0.918,-0.446,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.02,-0.04,0.058,-0.085,-0.001,1526,1529,1479,1532,10.00,10.06,39.64,39.69
1787303438.663,16.824,True,1,-0.041,-0.003,-0.124,0.526,10.333,10.331,0.330,0.917,-0.430,0.918,-0.446,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.02,-0.04,0.058,-0.085,-0.001,1526,1529,1479,1533,10.00,10.07,49.64,49.69
1787303438.673,16.834,True,1,-0.041,0.000,-0.124,0.539,10.345,10.344,0.330,0.917,-0.430,0.918,-0.445,0.024,-0.004,-0.004,-0.57,0.77,13.86,-0.03,-0.04,0.057,-0.085,-0.001,1526,1529,1479,1533,9.99,10.06,59.64,59.69
1787303438.683,16.845,True,1,-0.044,0.003,-0.125,0.566,10.372,10.371,0.331,0.917,-0.428,0.918,-0.445,0.026,-0.004,-0.003,-0.57,0.78,13.86,-0.04,-0.03,0.056,-0.085,-0.001,1526,1529,1479,1534,10.00,10.06,-0.41,-0.46
1787303438.693,16.854,True,1,-0.044,0.006,-0.125,0.578,10.385,10.383,0.331,0.917,-0.428,0.917,-0.444,0.026,-0.004,-0.003,-0.57,0.78,13.86,-0.04,-0.03,0.056,-0.085,-0.001,1526,1529,1479,1535,10.00,10.06,9.59,9.54
1787303438.703,16.864,True,1,-0.045,0.009,-0.125,0.597,10.404,10.402,0.332,0.917,-0.428,0.917,-0.444,0.026,-0.004,-0.004,-0.57,0.77,13.86,-0.04,-0.03,0.055,-0.084,-0.001,1526,1529,1479,1535,10.00,10.06,-0.16,-0.11
1787303438.713,16.874,True,1,-0.045,0.012,-0.125,0.610,10.416,10.415,0.332,0.917,-0.428,0.917,-0.443,0.026,-0.004,-0.004,-0.57,0.77,13.86,-0.04,-0.03,0.055,-0.084,-0.001,1526,1529,1479,1536,10.01,10.07,9.85,9.90
1787303438.723,16.884,True,1,-0.045,0.015,-0.125,0.622,10.429,10.427,0.333,0.917,-0.428,0.917,-0.443,0.026,-0.004,-0.004,-0.57,0.77,13.86,-0.05,-0.03,0.055,-0.084,-0.001,1526,1529,1479,1536,9.99,10.06,19.84,19.89
1787303438.733,16.894,True,1,-0.045,0.018,-0.125,0.635,10.442,10.440,0.333,0.917,-0.428,0.917,-0.442,0.026,-0.004,-0.004,-0.57,0.77,13.86,-0.05,-0.03,0.054,-0.084,-0.001,1526,1529,1479,1536,10.00,10.06,29.84,29.89
1787303438.743,16.904,True,1,-0.045,0.021,-0.125,0.648,10.454,10.453,0.334,0.917,-0.428,0.917,-0.442,0.026,-0.004,-0.004,-0.57,0.77,13.86,-0.05,-0.03,0.054,-0.084,-0.001,1526,1529,1479,1537,10.00,10.07,39.84,39.89
1787303438.753,16.915,True,1,-0.047,0.024,-0.125,0.667,10.474,10.472,0.334,0.917,-0.427,0.917,-0.441,0.027,-0.003,-0.003,-0.57,0.78,13.86,-0.06,-0.02,0.053,-0.084,-0.001,1525,1529,1479,1538,10.00,10.06,-0.41,-0.36
1787303438.763,16.924,True,1,-0.047,0.027,-0.125,0.680,10.487,10.485,0.335,0.917,-0.427,0.917,-0.441,0.027,-0.003,-0.003,-0.57,0.78,13.86,-0.07,-0.02,0.053,-0.084,-0.001,1525,1529,1479,1538,10.00,10.06,9.58,9.63
1787303438.773,16.934,True,1,-0.046,0.030,-0.125,0.689,10.495,10.494,0.335,0.917,-0.426,0.917,-0.440,0.028,-0.003,-0.003,-0.57,0.78,13.86,-0.07,-0.02,0.053,-0.083,-0.001,1525,1529,1479,1538,10.00,10.06,19.59,-0.07
