t_wall,t_rel,armed,mode,alt,alt_sp,climb_rate,a_up,a_north,a_east,x,y,x_filt,y_filt,dxy,vx,vy,yaw_deg,dt_ms,sched_slip_ms,att_age_ms,pos_age_ms
1787304439.700,6.116,True,4,2.722,3.000,0.694,-0.970,-0.271,0.053,3.096,0.631,3.191,0.371,0.277,0.151,-0.030,153.31,0.00,100.00,0.15,0.09
1787304439.801,6.216,True,4,2.785,3.000,0.607,-0.938,-0.260,-0.021,3.108,0.627,3.163,0.456,0.269,0.163,-0.046,154.71,100.06,100.07,-0.19,-0.24
1787304439.901,6.316,True,4,2.841,3.000,0.532,-0.924,-0.225,-0.030,3.118,0.621,3.148,0.511,0.260,0.155,-0.080,155.99,100.00,100.06,-0.19,-0.26
1787304440.001,6.416,True,4,2.885,3.000,0.438,-0.806,-0.220,-0.086,3.127,0.614,3.141,0.545,0.251,0.157,-0.073,156.70,100.00,100.07,-0.19,-0.24
1787304440.101,6.516,True,4,2.928,3.000,0.316,-0.604,-0.204,-0.050,3.141,0.604,3.141,0.565,0.238,0.148,-0.108,156.77,100.00,100.06,-0.19,-0.24
1787304440.201,6.616,True,4,2.952,3.000,0.232,-0.442,-0.146,-0.030,3.149,0.594,3.144,0.575,0.227,0.115,-0.128,156.63,100.01,100.07,-0.22,-0.27
1787304440.300,6.716,True,4,2.966,3.000,0.153,-0.257,-0.094,-0.041,3.152,0.586,3.147,0.578,0.218,0.085,-0.127,156.46,100.00,100.07,-0.17,-0.22
1787304440.400,6.816,True,4,2.981,3.000,0.139,-0.273,-0.068,-0.095,3.157,0.575,3.150,0.577,0.207,0.069,-0.098,156.09,100.00,100.06,-0.16,-0.21
1787304440.500,6.916,True,4,2.996,3.000,0.109,-0.244,-0.061,-0.087,3.161,0.564,3.154,0.573,0.196,0.063,-0.102,155.54,100.00,100.06,-0.16,-0.21
1787304440.601,7.016,True,4,3.007,3.000,0.059,-0.139,-0.010,-0.029,3.166,0.553,3.158,0.566,0.184,0.032,-0.132,154.83,100.00,100.06,-0.19,-0.24
1787304440.701,7.116,True,4,3.016,3.000,0.042,-0.123,-0.010,-0.005,3.170,0.541,3.162,0.558,0.171,0.030,-0.142,154.18,100.00,100.07,-0.19,-0.24
1787304440.801,7.216,True,4,3.023,3.000,0.057,-0.199,0.002,-0.059,3.173,0.530,3.166,0.548,0.160,0.021,-0.107,153.75,100.00,100.06,-0.27,-0.32
